Country,Year,Happiness_Score,Hospital_Beds,Divorce_Rate,Gini_Coefficient,Internet_Access,Marriage_Rate,Obesity_Rate,Press_Freedom,Work_Hours,Region
South Korea,2018,5.875,12.43,2.038888781,0.357,99.47817968,4.986666667,5.1,23.51,1993,Eastern Asia
South Korea,2019,5.895,12.76,1.995555432,0.3585,99.68928795,4.720952381,5.3,24.94,1967,Eastern Asia
South Korea,2020,5.8724,13.035,1.952222084,0.36,99.83115364,4.455238095,5.5,23.7,1933.7,Eastern Asia
Spain,2015,6.329,2.98,2.0999999,0.344,78.7489,3.6,23.4,19.95,1694.2,Western Europe
Spain,2016,6.361,2.97,2.0999999,0.341,81.9309,3.7,23.8,19.92,1701.5,Western Europe
Spain,2017,6.403,2.97,2.0999999,0.333,83.38622,3.7,24.2,18.69,1689.5,Western Europe
Spain,2018,6.31,2.97,2.12999985,0.346690909,86.35764,3.742857143,24.6,20.51,1695.5,Western Europe
Spain,2019,6.354,2.965,2.13999982,0.348518182,91.43762,3.8,25,21.99,1686,Western Europe
Spain,2020,6.4009,2.962,2.14999979,0.350345455,93.65099,3.857142857,25.4,22.16,1686.62,Western Europe
Sweden,2015,7.364,2.44,2.5,0.278,91.0333,5.3,20.2,9.47,1466,Western Europe
Sweden,2016,7.291,2.34,2.4000001,0.282,93.8028,5.4,20.6,12.33,1478,Western Europe
Sweden,2017,7.284,2.21,2.4000001,0.282,94.727325,5.2,21,8.27,1467,Western Europe
Sweden,2018,7.314,2.14,2.556862761,0.275,93.41911,5.28,21.4,8.31,1466,Western Europe
Sweden,2019,7.343,2.025,2.571620241,0.2828,96.05962,5.26,21.8,8.31,1452,Western Europe
Sweden,2020,7.3535,1.922,2.586377721,0.2846,96.709116,5.24,22.2,9.25,1453.8,Western Europe
Turkey,2015,5.332,2.68,1.7,0.404,69.5445,7.7,31.5,44.16,1812.857143,Middle East and Northern Africa
Turkey,2016,5.389,2.75,1.6,0.3991,76.3445,7.5,32.1,50.76,1800.571429,Middle East and Northern Africa
Turkey,2017,5.5,2.81,1.6,0.3992,80.742884,7.1,32.77142857,52.98,1788.285714,Middle East and Northern Africa
Turkey,2018,5.483,2.85,1.633333333,0.3993,83.790946,7.03,33.42142857,53.5,1776,Middle East and Northern Africa
Turkey,2019,5.373,2.915,1.633333333,0.3994,88.29946,6.84,34.07142857,52.81,1763.714286,Middle East and Northern Africa
Turkey,2020,5.1318,2.972,1.633333333,0.3995,92.022683,6.65,34.72142857,50.02,1751.428571,Middle East and Northern Africa
United Kingdom,2015,6.867,2.61,1.7,0.36,91.2516,4.4,27.2,20,1527,Western Europe
United Kingdom,2016,6.725,2.57,1.8,0.351,93.4847,4.4,27.8,21.7,1541,Western Europe
United Kingdom,2017,6.714,2.54,1.62999998,0.357,93.99165,4.45,28.4,22.26,1540,Western Europe
United Kingdom,2018,7.19,2.5,1.556323509,0.366,94.85223,4.47,29,23.25,1535,Western Europe
United Kingdom,2019,7.054,2.46,1.482647037,0.357985294,95.84565,4.49,29.6,22.23,1538,Western Europe
United Kingdom,2020,7.1645,2.425,1.408970566,0.357833333,96.529415,4.51,30.2,22.93,1539.607143,Western Europe
United States,2015,7.119,2.8,3.0999999,0.39,73.37,6.900000095,35.6,24.41,1783,North America
United States,2016,7.104,2.77,3,0.391,73.99,7,36.2,22.49,1778,North America
United States,2017,6.993,2.87,2.9000001,0.39,77.97,6.900000095,36.87142857,23.88,1778,North America
United States,2018,6.886,2.883333333,2.9000001,0.3877,76.965,6.5,37.52142857,23.73,1783,North America
United States,2019,6.892,2.918333333,2.887719321,0.3862,79.88,6.693333308,38.17142857,25.69,1779,North America
United States,2020,6.9396,2.953333333,2.82701757,0.3847,81.2335,6.653333278,38.82142857,23.85,1779.392857,North America
